Word,Text,URL
пo-/iн/`aк+ш+oму,"Все тут [на фронті] було #по-інакшому#. Думки проносились одна одної вищі й значніші. Розуміння товариськості стало сердечнішим і ясним, як ніколи ні вдома, ні в школі.
Справді все зразу пішло #по-інакшому#. Іванов з прапором опинився в центрі: довкола зійшлися і старші, і молодші","http://ukrlit.org/faily/avtor/dovzhenko_oleksandr_petrovych/dovzhenko-povist_polumianykh_lit.pdf
 https://mybook.ru/author/yurij-smolich-2/mir-hatam-vijna-palacam/read/?page=6"
/iн/`aк+ш+e    ,"Суддя бачив, що бурлацьке діло розв'язується тепер зовсім #інакше#.
Я жадала б пояснень. #Інакше# я можу думати, що ви просто пожартували зі мною","http://bukvoid.com.ua/library/ivan_nechuy-levitskiy/mikola_dzherya/43.html 
http://booksonline.com.ua/view.php?book=155580&page=3"
/iн/`aк+ш+e       ,"Коли Іванові минуло сім літ, він вже дивився на світ #інакше#.
Геть! Розступіться. дайте шлях! #Інакше# я сам собі дорогу проложу!","https://www.livelib.ru/quote/389298-tini-zabutih-predkiv-mihajlo-kotsyubinskij
http://www.ukrcenter.com/%D0%9B%D1%96%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0/%D0%9B%D0%B5%D1%81%D1%8F-%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%BA%D0%B0/22383-25/%D0%A3-%D0%BF%D1%83%D1%89%D1%96"
зa/вoд/ij+`aк*a    ,"Він - #заводіяка# і призвідця всіляких витівок та бешкетів. Зіма, хвалити Бога, минула, тепер усім немала радість. 
Старий Горобець, звичайно, великий #заводіяка# й часто кривдить свою стару, але","https://naurok.com.ua/uroki-ukra-nsko-literaturi-dlya-1-2-3-zanyat-pidgotovchogo-viddilennya-205208.html
https://uk.wikisource.org/wiki/%D0%A1%D1%82%D0%BE%D1%80%D1%96%D0%BD%D0%BA%D0%B0:%D0%94._%D0%9C%D0%B0%D0%BC%D0%B8%D0%BD-%D0%A1%D1%96%D0%B1%D1%96%D1%80%D1%8F%D0%BA._%D0%A1%D1%82%D0%B0%D1%80%D0%B8%D0%B9_%D0%93%D0%BE%D1%80%D0%BE%D0%B1%D0%B5%D1%86%D1%8C_(1919).djvu/4"
/пись/м+`aк ,"Сопілку здумав нарядить.
Зробив, і як прийнявся грати, 
Хлоп'ята стали набігати 
І старики к йому ходить. 
Один із сих, мабуть, #письмак#, 
Сухий, кривий на праву ногу, 
Казав: «Молися, хлопче, богу, То будеш вік веселий так»",https://archive.org/stream/burleskXIX/BurleskXIX_djvu.txt
пo/туp/н+`aк  ,"Торік восени рушив наш батько через море, і пішли вздовж турецьких берегів. #потурнаки# та звільнені бранці вказували нам путь",https://www.myslenedrevo.com.ua/uk/Lit/T/Tulub/Ljudolovy/NaXutori/2.html
/пapуб/ч+`aк ,"Золотницький сидить на лаві за столом.. Ясь стоїть перед ним — #парубчак#, по-шляхетському, пишніше за батька вбраний. До червоного, вигаптуваного ластовинням обличчя #парубчака# то приливала, то відливала гаряча юнацька кров",http://library.kr.ua/elib/kariy/khazayin.html
/дв/oj+`aк+o  ,"сторонні люди, розбираючись в тому, що відбувається у них перед очима, можуть #двояко# ставитися до боротьби. На душі двояко. Сумно й хвилями радісно",https://uk.wikisource.org/wiki/%D0%93%D1%96%D1%80%D0%BA%D0%B8%D0%B9_%D1%82%D0%BE_%D1%81%D0%BC%D1%96%D1%85/%D0%91%D1%96%D0%B4%D0%BE%D0%BB%D0%B0%D1%85%D0%B0
/бiд/oл+`aк*a   ,"“Я не #бідолаха#”: білоруски записали відео-відповідь на сексистські слова президента Лукашенка
#Бідолаха# заплатив 1500 грн. і через місяць йому вручили паспорт з новою фотокарткою, запевнивши, що все офіційно.","https://povaha.org.ua/ya-ne-bidolaha-bilorusky-zapysaly-video-vidpovid-na-seksystski-slova-prezydenta-lukashenka/
https://dmsu.gov.ua/news/region/6639.html"
/сoл/oн+ч+`aк ," Крім того, на випаровування використовується і ґрунтова вода. Цей тип водного режиму характерний для пустельних зон із близьким заляганням ґрунтових вод, де  розвивається #солончак#",http://cgo-sreznevskyi.kyiv.ua/data/bis3/zemlerobstvo.pdf
/персон/`ал,"Він просив увесь готелевий #персонал# таїти кілька день його приїзд. 
Персонал–сукупність  працівників,  поєднаних  цілями  господарської діяльності, технологією, засобами виробництва. Це особистісний склад ор-ганізації, що включає всіх найманих працівників, а також працюючих вла-сників та співвласників",https://core.ac.uk/download/pdf/52158889.pdf
/кримін/`ал,"Особливо актуальною ця тема є зараз, коли в Україні проходить тотальна люстрація і весь #кримінал# виходить на поверхню",https://news.24tv.ua/kriminal_tag179/
/інтегр/`ал," в математичному аналізі це #інтеграл# функції з вказаною областю інтегрування. Визначений #інтеграл# є неперервним функціоналом, лінійним по підінтегральним функціям і адитивним по області інтегрування",https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%82%D0%B5%D0%B3%D1%80%D0%B0%D0%BB
/барбіт/`ал,"#Барбітал# проникає до плаценти і неонатальна седація виникає при призначенні в пологах. Хоча зв’язування з білками суттєво впливало на рівень трансферу, #барбітал# швидко проникав через плаценту в обох напрямках",http://utis.in.ua/barbital/
/pиб/`aл+eнн*я  ,"Та хіба ж ми не рибалимо в морі? І в Азовському, і в Чорному? Ми навіть маємо татарський ярлик [163] на вільне #рибалення#",https://www.ukrlib.com.ua/books/printit.php?tid=15373&page=41
/pиб/`aл+и+ти ,"Держенергонагляд попереджає: рибалити поблизу ліній електропередачі суворо заборонено!У літній сезон приємним та досить поширеним відпочинком серед багатьох людей є риболовля.  Проте, навіть  на  риболовлі  може  спіткати  такий  небезпечний  фактор,  як електрострум,  адже  досить  часто  поблизу  водойм  знаходяться  повітряні  лінії електропередачі (далі –ЛЕП).З  метою  запобігання  нещасним  випадкам  від  впливу  електричного струму,постановоюКабінету  Міністрів  України  «Про  затвердження  Правил  охорони електричних мереж» визначено охоронні зони електричних мереж:Напруга повітряних ліній електропередачіОхоронна зона, мДо 1 кВ2До 20 кВ1035 кВ15110 кВ20150, 220 кВ25330, 400, 500 кВ30750 кВ40Так, відповідно до пункту 9 Правил, у межах охоронних зон повітряних і кабельних ліній, трансформаторних  підстанцій,  розподільних  пунктів  та  пристроїв  рибалити  суворо заборонено #рибалити#",https://pogrda.gov.ua/images/doc/20/01/200814_el_01.pdf
/poг/`aл+ик  ,"Змащуємо кожен #рогалик# яєчним жовтком і злегка присипаємо цукром.
Одним з них є Святомартинський #рогалик#.
Своє свято Святомаринскьий #рогалик# відзначає 11 листопада, в день, який є одночасно святом незалежності Польщі.","https://smachno.ua/ua/recepty/deserty-i-vypechka/domashnie-rogaliki-5-prostyh-retseptov/
https://poland2day.com/ua/vkusy-polshi-svyatomartinskij-rogalik"
 /кoв/aл+`иx*a     ,"А мені, — каже, — розказувала про се покійна #ковалиха# Оксана, а вона чула від Явдохи, дядини старої Потапихи, що була опісля за Денисом Буцем.
Схопивши найбільший, Михайлик уже й розмахався ним, уже й по голому ковадлу постукував, поки грілося в горні залізо, не міг від нетерплячки й на місці встояти, коли до них із матінкою підступила #ковалиха# Анна:","https://ru.osvita.ua/school/literature/k/69789/list-4.html
https://www.litmir.me/br/?b=225776&p=79"
/кoв/aл+`iв+ськ*ий ,"#Ковалівський# — вибір тих, хто хоче змінити свій побут і спосіб життя, купивши нерухомість в новому сучасному будинку в серці Кропивницького
Парк культу́ри та відпочи́нку «#Ковалівський#» (за СРСР — Парк імені Леніна) — парк у Кропивницькому, парк-пам'ятка садово-паркового мистецтва місцевого значення в Україні","https://kovalivskyi.kr.ua/
https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%BA_%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D0%B8_%D1%82%D0%B0_%D0%B2%D1%96%D0%B4%D0%BF%D0%BE%D1%87%D0%B8%D0%BD%D0%BA%D1%83_%C2%AB%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9%C2%BB"
/фopм/aл+iз+ув`a+ти ,"У ВР запропонували #формалізувати# прецедент.
Правила застосування судового прецеденту можуть #формалізувати#.
Кабмін планує #формалізувати#створення держкомісії для розслідування авіакатастрофи на Харківщині.
Кабінет міністрів України на сьогоднішньому засіданні планує #формалізувати# рішення про створення державної комісії для з’ясування обставин авіакатастрофи транспортного літака АН-26, що впав у Чугуївському районі на Харківщині.","https://radako.com.ua/news/u-vr-zaproponuvali-formalizuvati-precedent
https://www.unn.com.ua/uk/news/1893857-kabmin-planuye-formalizuvati-stvorennya-derzhkomisiyi-dlya-rozsliduvannya-aviakatastrofi-na-kharkivschini"
нopм/aл+iз+ув`a+ти+ся  ,"Висока температура повинна #нормалізуватися# протягом першої доби без застосування жодних жарознижуючих препаратів.
Попереду лишаються ще величезні виклики, але це оголошення зустріли з ентузіазмом, і деякі вчені припускають, що життя може #нормалізуватися# до весни.","https://moz.gov.ua/article/health/scho-robiti-jakscho-vi-zahvorili-na-grip
https://www.bbc.com/ukrainian/news-54872223"
